MAC;SLOC Name;Time received;Time recorded;Event;Value
04C3E680FACF;Stapler 349-1;23.04.2024 05:00:20;23.04.2024 05:00:09;Battery Voltage;"3.664"
04C3E680FACF;Stapler 349-1;22.04.2024 22:59:47;22.04.2024 22:59:37;Battery Level;"84.36"
04C3E680FACF;Stapler 349-1;22.04.2024 22:59:47;22.04.2024 22:59:37;Battery Used Charge;"1094.751 mAh"
04C3E680FACF;Stapler 349-1;22.04.2024 22:59:47;22.04.2024 22:59:37;Battery Voltage;"3.662"
04C3E680FACF;Stapler 349-1;22.04.2024 17:00:16;22.04.2024 17:00:04;Battery Level;"84.4"
04C3E680FACF;Stapler 349-1;22.04.2024 17:00:16;22.04.2024 17:00:04;Battery Used Charge;"1091.739 mAh"
04C3E680FACF;Stapler 349-1;22.04.2024 17:00:16;22.04.2024 17:00:04;Battery Voltage;"3.650"
04C3E680FACF;Stapler 349-1;22.04.2024 05:00:18;22.04.2024 05:00:09;Battery Level;"85.07"
04C3E680FACF;Stapler 349-1;22.04.2024 05:00:18;22.04.2024 05:00:09;Battery Used Charge;"1045.125 mAh"
04C3E680FACF;Stapler 349-1;22.04.2024 05:00:18;22.04.2024 05:00:09;Battery Voltage;"3.666"
04C3E680FACF;Stapler 349-1;21.04.2024 22:59:46;21.04.2024 22:59:37;Battery Level;"85.08"
04C3E680FACF;Stapler 349-1;21.04.2024 22:59:46;21.04.2024 22:59:37;Battery Used Charge;"1044.287 mAh"
04C3E680FACF;Stapler 349-1;21.04.2024 22:59:46;21.04.2024 22:59:37;Battery Voltage;"3.664"
04C3E680FACF;Stapler 349-1;21.04.2024 17:00:13;21.04.2024 17:00:04;Battery Level;"85.09"
04C3E680FACF;Stapler 349-1;21.04.2024 17:00:13;21.04.2024 17:00:04;Battery Used Charge;"1043.397 mAh"
